,District,Localbody,Announced date,WardNum
0,THIRUVANANTHAPURAM,PANGODE,14-04-2021,3
1,KOZHIKODE,VILLIYAPPALLY,28-04-2021,2
2,THIRUVANANTHAPURAM,PANGODE,14-04-2021,16
3,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,1
4,PATHANAMTHITTA,KOIPURAM,02-06-2021,3
5,IDUKKI,KATTAPPANA,27-04-2021,25
6,THIRUVANANTHAPURAM,PANGODE,14-04-2021,17
7,IDUKKI,KOKKAYAR,27-04-2021,5
8,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,5
9,KOZHIKODE,KEEZHARIYUR,30-04-2021,11
10,THIRUVANANTHAPURAM,KANJIRAMKULAM,12-05-2021,1
11,THIRUVANANTHAPURAM,PANGODE,14-04-2021,18
12,THIRUVANANTHAPURAM,KANJIRAMKULAM,12-05-2021,2
13,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,2
14,THIRUVANANTHAPURAM,PANGODE,14-04-2021,19
15,IDUKKI,VELLATHOOVAL,27-04-2021,4
16,IDUKKI,VELLATHOOVAL,27-04-2021,17
17,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,28-03-2021,49
18,KOZHIKODE,KEEZHARIYUR,30-04-2021,2
19,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,7
20,KOZHIKODE,KAVILUMPARA,27-04-2021,11
21,KOZHIKODE,KODIYATHUR,29-04-2021,2
22,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,4
23,THIRUVANANTHAPURAM,ARYANAD,30-03-2021,9
24,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,6
25,MALAPPURAM,TANALUR,01-06-2021,11
26,THIRUVANANTHAPURAM,KALLARA,30-03-2021,5
27,KOTTAYAM,KURICHY,09-05-2021,4
28,PATHANAMTHITTA,KUNNATHANAM,29-05-2021,12
29,KANNUR,AZHIKODE,10-05-2021,17
30,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,6
31,THIRUVANANTHAPURAM,KALLARA,30-03-2021,16
32,IDUKKI,VELLATHOOVAL,27-04-2021,3
33,ERNAKULAM,NJARAKKAL,27-04-2021,13
34,PALAKKAD,PALAKKAD,31-03-2021,27
35,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,1
36,PALAKKAD,AKATHETHARA,03-04-2021,5
37,IDUKKI,VELLATHOOVAL,27-04-2021,9
38,KOTTAYAM,KURICHY,09-05-2021,5
39,IDUKKI,VELLATHOOVAL,27-04-2021,16
40,PATHANAMTHITTA,ERAVIPEROOR,30-05-2021,12
41,PALAKKAD,LAKKIDIPERUR,16-04-2021,14
42,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,7
43,KOTTAYAM,KURICHY,09-05-2021,8
44,PATHANAMTHITTA,CHITTAR,02-06-2021,2
45,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,8
46,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,11
47,MALAPPURAM,TANALUR,01-06-2021,12
48,IDUKKI,THODUPUZHA,27-04-2021,32
49,ERNAKULAM,NJARAKKAL,27-04-2021,14
50,KANNUR,AZHIKODE,10-05-2021,9
51,IDUKKI,VAZHATHOPE,27-04-2021,9
52,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,12
53,IDUKKI,KANJIKUZHY,27-04-2021,5
54,ERNAKULAM,NJARAKKAL,27-04-2021,15
55,MALAPPURAM,TANALUR,01-06-2021,13
56,IDUKKI,KANJIKUZHY,27-04-2021,16
57,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,13
58,ERNAKULAM,NJARAKKAL,27-04-2021,16
59,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,14
60,KOTTAYAM,KURICHY,09-05-2021,17
61,KOTTAYAM,UDAYANAPURAM,09-05-2021,2
62,MALAPPURAM,TANALUR,01-06-2021,14
63,IDUKKI,ADIMALY,27-04-2021,6
64,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,2
65,THRISSUR,CHOONDAL,28-04-2021,1
66,ERNAKULAM,NARAYAMBALAM,30-04-2021,14
67,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,15
68,IDUKKI,ADIMALY,27-04-2021,10
69,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,13
70,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,3
71,IDUKKI,ADIMALY,27-04-2021,17
72,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,14
73,PATHANAMTHITTA,CHITTAR,02-06-2021,13
74,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,16
75,KANNUR,AZHIKODE,10-05-2021,2
76,IDUKKI,ADIMALY,27-04-2021,19
77,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,15
78,KOZHIKODE,KAYANNA,06-05-2021,1
79,IDUKKI,ADIMALY,27-04-2021,12
80,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,1
81,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,4
82,THRISSUR,CHOONDAL,28-04-2021,2
83,PATHANAMTHITTA,KUNNATHANAM,29-05-2021,15
84,KANNUR,ANTHUR,19-05-2021,21
85,ERNAKULAM,NARAYAMBALAM,30-04-2021,16
86,PATHANAMTHITTA,KALANJOOR,02-06-2021,6
87,IDUKKI,RAJAKUMARI,27-04-2021,6
88,IDUKKI,RAJAKUMARI,27-04-2021,9
89,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,2
90,KOZHIKODE,VILLIYAPPALLY,27-04-2021,19
91,IDUKKI,RAJAKUMARI,27-04-2021,11
92,KOZHIKODE,KAYANNA,06-05-2021,5
93,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,3
94,PATHANAMTHITTA,ANICADU,02-06-2021,3
95,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,02-05-2021,1
96,KANNUR,AZHIKODE,10-05-2021,21
97,IDUKKI,MARAYOOR,21-05-2021,13
98,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,4
99,PATHANAMTHITTA,ANICADU,02-06-2021,9
100,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,5
101,KOZHIKODE,KOOTHALI,01-05-2021,12
102,KOZHIKODE,ARIKULAM,30-04-2021,2
103,KOLLAM,ANCHAL,01-05-2021,1
104,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,6
105,KOZHIKODE,CHEMANACHERY,13-04-2021,18
106,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,7
107,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,5
108,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,8
109,THRISSUR,CHOONDAL,28-04-2021,3
110,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,6
111,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,28-04-2021,98
112,PATHANAMTHITTA,EZHUMATTOOR,28-05-2021,5
113,KOZHIKODE,CHATHAMANGALAM,29-04-2021,13
114,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,7
115,PATHANAMTHITTA,VALLICODE,26-05-2021,14
116,KOTTAYAM,UDAYANAPURAM,09-05-2021,3
117,THIRUVANANTHAPURAM,KIZHUVILAM,01-06-2021,8
118,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,8
119,THRISSUR,CHOONDAL,28-04-2021,4
120,THRISSUR,MELOOR,28-04-2021,12
121,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,9
122,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,9
123,THRISSUR,CHOONDAL,28-04-2021,5
124,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,10
125,THRISSUR,CHOONDAL,28-04-2021,6
126,THRISSUR,MELOOR,28-04-2021,13
127,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,02-05-2021,3
128,THRISSUR,GURUVAYOOR,01-05-2021,4
129,KOZHIKODE,KUNNUMAL,13-04-2021,12
130,IDUKKI,VANDIPERIYAR,16-04-2021,15
131,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,2
132,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,10
133,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,11
134,IDUKKI,VANDIPERIYAR,16-04-2021,17
135,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,11
136,THRISSUR,CHOONDAL,28-04-2021,7
137,THRISSUR,CHOONDAL,28-04-2021,8
138,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,12
139,THRISSUR,CHOONDAL,28-04-2021,9
140,THIRUVANANTHAPURAM,KIZHUVILAM,01-06-2021,3
141,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,4
142,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,12
143,IDUKKI,AYYAPPANCOIL,16-04-2021,9
144,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,14
145,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,17
146,THRISSUR,GURUVAYOOR,01-05-2021,10
147,KANNUR,AZHIKODE,10-05-2021,13
148,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,28-04-2021,100
149,KOZHIKODE,NADAPURAM,29-04-2021,13
150,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,23
151,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,13
152,THRISSUR,GURUVAYOOR,01-05-2021,32
153,THIRUVANANTHAPURAM,KIZHUVILAM,01-06-2021,5
154,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,13
155,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,14
156,THRISSUR,CHOONDAL,28-04-2021,10
157,THRISSUR,MELOOR,28-04-2021,14
158,THIRUVANANTHAPURAM,ELAKAMON,01-06-2021,11
159,KOLLAM,KARAVALOOR,07-04-2021,13
160,PATHANAMTHITTA,MYLAPRA,31-05-2021,1
161,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,14
162,THIRUVANANTHAPURAM,ANJUTHENGU,02-06-2021,2
163,KOZHIKODE,MEPPAYUR,13-04-2021,10
164,KOZHIKODE,PUTHUPPADY,13-04-2021,10
165,PATHANAMTHITTA,RANNI PERUNAD,26-05-2021,9
166,KOZHIKODE,VILLIYAPPALLY,27-04-2021,15
167,THIRUVANANTHAPURAM,ANJUTHENGU,02-06-2021,4
168,THRISSUR,NATTIKA,28-04-2021,1
169,KOZHIKODE,KODIYATHUR,29-04-2021,8
170,THRISSUR,CHOONDAL,28-04-2021,11
171,THRISSUR,MELOOR,28-04-2021,15
172,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,9
173,KOZHIKODE,KAYANNA,06-05-2021,6
174,KOZHIKODE,OLAVANNA,13-04-2021,1
175,KOZHIKODE,PAYYOLI MUNCIPALITY,13-04-2021,25
176,KOZHIKODE,PUTHUPPADY,13-04-2021,13
177,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,15
178,KOZHIKODE,AYANCHERI,30-04-2021,5
179,KOZHIKODE,PUTHUPPADY,13-04-2021,20
180,KOZHIKODE,KAYANNA,06-05-2021,11
181,KOZHIKODE,CHELANNUR,17-04-2021,10
182,KOZHIKODE,VADAKARA MUNCIPALITY,13-04-2021,5
183,KOTTAYAM,BHARANANGANAM,13-05-2021,1
184,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,16
185,PATHANAMTHITTA,CHENNEERKARA,26-05-2021,7
186,KOZHIKODE,KEEZHARIYUR,06-05-2021,13
187,PATHANAMTHITTA,PATHANAMTHITTA,31-05-2021,20
188,KOZHIKODE,VADAKARA MUNCIPALITY,13-04-2021,12
189,KOZHIKODE,VADAKARA MUNCIPALITY,13-04-2021,28
190,ERNAKULAM,PUTHENVELIKKARA,27-04-2021,17
191,KOZHIKODE,CHERUVANNUR,15-04-2021,5
192,THIRUVANANTHAPURAM,ANJUTHENGU,02-06-2021,5
193,THRISSUR,THANNIAM,24-04-2021,5
194,IDUKKI,MARAYOOR,21-05-2021,11
195,PATHANAMTHITTA,AYIROOR,28-05-2021,16
196,KOZHIKODE,VILLIYAPPALLY,27-04-2021,7
197,KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,26-04-2021,3
198,THIRUVANANTHAPURAM,PAZHAYAKUNNUMMEL,02-06-2021,2
199,KOZHIKODE,VADAKARA MUNCIPALITY,27-04-2021,24
200,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,17
201,KOZHIKODE,CHANGAROTH,16-04-2021,12
202,KOZHIKODE,KODUVALLY MUNCIPALITY,06-05-2021,3
203,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,26
204,KOZHIKODE,CHELANNUR,16-04-2021,9
205,KOZHIKODE,KOODARANJI,06-05-2021,9
206,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,18
207,KOZHIKODE,VADAKARA MUNCIPALITY,28-04-2021,26
208,THIRUVANANTHAPURAM,NAVAIKULAM,28-04-2021,11
209,KOZHIKODE,CHELANNUR,16-04-2021,15
210,KOZHIKODE,CHELANNUR,17-04-2021,16
211,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,19
212,THIRUVANANTHAPURAM,VELLARADA,07-05-2021,9
213,KOZHIKODE,MEPPAYUR,16-04-2021,8
214,IDUKKI,KANJIKUZHY,07-04-2021,2
215,IDUKKI,KANJIKUZHY,07-04-2021,3
216,KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,16-04-2021,7
217,THIRUVANANTHAPURAM,VELLANAD,31-03-2021,1
218,THIRUVANANTHAPURAM,VELLANAD,31-03-2021,4
219,THIRUVANANTHAPURAM,VELLANAD,31-03-2021,13
220,THIRUVANANTHAPURAM,MANGALAPURAM,28-04-2021,2
221,IDUKKI,UPPUTHARA,09-04-2021,14
222,IDUKKI,UPPUTHARA,09-04-2021,17
223,THRISSUR,NATTIKA,28-04-2021,2
224,THIRUVANANTHAPURAM,MANGALAPURAM,28-04-2021,15
225,KOZHIKODE,CHATHAMANGALAM,29-04-2021,23
226,THRISSUR,CHOONDAL,28-04-2021,12
227,PATHANAMTHITTA,MALLAPUZHASSERY,02-06-2021,11
228,PALAKKAD,KOLLENGODE,10-04-2021,3
229,PALAKKAD,PALAKKAD,10-04-2021,2
230,KANNUR,AZHIKODE,10-05-2021,7
231,PATHANAMTHITTA,PATHANAMTHITTA,31-05-2021,22
232,THIRUVANANTHAPURAM,MANGALAPURAM,28-04-2021,19
233,PATHANAMTHITTA,PATHANAMTHITTA,31-05-2021,24
234,THRISSUR,CHOONDAL,28-04-2021,13
235,PALAKKAD,VANDAZHY,10-04-2021,18
236,PALAKKAD,PALAKKAD,10-04-2021,30
237,PALAKKAD,PALAKKAD,10-04-2021,40
238,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,3
239,PATHANAMTHITTA,PALLICKAL,31-05-2021,6
240,PALAKKAD,NAGALASSERY,12-05-2021,10
241,PATHANAMTHITTA,VALLICODE,31-05-2021,7
242,KOLLAM,THODIYOOR,27-04-2021,11
243,THIRUVANANTHAPURAM,VELLARADA,07-05-2021,11
244,KOZHIKODE,KOOTHALI,06-05-2021,7
245,THRISSUR,VATANAPALLY,18-04-2021,11
246,THIRUVANANTHAPURAM,VELLARADA,07-05-2021,18
247,THRISSUR,WADAKKANCHERY,27-04-2021,27
248,KOZHIKODE,KAKKODI,29-04-2021,7
249,KOZHIKODE,KOTTUR,06-05-2021,14
250,ALAPPUZHA,CHEPPAD,07-05-2021,01
251,KOZHIKODE,KOYILANDI MUNCIPALITY,06-05-2021,3
252,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,28
253,ERNAKULAM,SREEMOOLA NAGARAM,29-05-2021,1
254,KOZHIKODE,KOYILANDI MUNCIPALITY,06-05-2021,23
255,ALAPPUZHA,CHEPPAD,07-05-2021,02
256,KOZHIKODE,ERAMALA,29-04-2021,1
257,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,20
258,MALAPPURAM,TANALUR,01-06-2021,15
259,MALAPPURAM,THUVVUR,01-06-2021,6
260,KOZHIKODE,KARASSERI,30-04-2021,17
261,KOZHIKODE,KUNNUMAL,06-05-2021,1
262,KOZHIKODE,KUTTIADI,28-04-2021,14
263,KOLLAM,THODIYOOR,27-04-2021,20
264,THRISSUR,CHOONDAL,28-04-2021,14
265,KOZHIKODE,KUNNUMAL,06-05-2021,2
266,PATHANAMTHITTA,RANNI PERUNAD,29-05-2021,9
267,KOZHIKODE,MOODADI,06-05-2021,1
268,THRISSUR,CHOWANNUR,28-04-2021,2
269,ALAPPUZHA,CHEPPAD,07-05-2021,03
270,THRISSUR,CHOONDAL,28-04-2021,15
271,THRISSUR,MULLURKARA,28-04-2021,3
272,THRISSUR,MELOOR,28-04-2021,16
273,KOZHIKODE,MUKKAM MUNCIPALITY,28-04-2021,6
274,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,33
275,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,10
276,THRISSUR,MATTATHUR,01-05-2021,14
277,KOZHIKODE,MOODADI,06-05-2021,6
278,ALAPPUZHA,CHEPPAD,07-05-2021,04
279,KANNUR,AZHIKODE,10-05-2021,22
280,KOZHIKODE,MUKKAM MUNCIPALITY,28-04-2021,9
281,KOZHIKODE,KOZHIKODE MUNICIPAL CORPORATION,20-04-2021,33
282,KANNUR,CHAPPARAPADAVU,10-05-2021,8
283,KOZHIKODE,MUKKAM MUNCIPALITY,28-04-2021,15
284,PATHANAMTHITTA,THOTTAPUZHASSERY,27-04-2021,6
285,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,01-05-2021,2
286,KOZHIKODE,NADAPURAM,28-04-2021,22
287,THRISSUR,CHOWANNUR,29-04-2021,3
288,KOZHIKODE,RAMANATUKARA MUNCIPALITY,29-04-2021,7
289,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,01-05-2021,51
290,THRISSUR,CHOONDAL,28-04-2021,16
291,THRISSUR,MULLURKARA,28-04-2021,4
292,THRISSUR,MELOOR,28-04-2021,17
293,PATHANAMTHITTA,MALLAPPALLY,27-04-2021,10
294,KOZHIKODE,MUKKAM MUNCIPALITY,28-04-2021,20
295,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,27-04-2021,25
296,THIRUVANANTHAPURAM,NEDUMANGADU,02-05-2021,37
297,THRISSUR,CHOWANNUR,29-04-2021,5
298,THIRUVANANTHAPURAM,VELLANAD,10-05-2021,17
299,KOZHIKODE,MOODADI,06-05-2021,15
300,THRISSUR,ANNAMANADA,21-02-2021,6
301,KOZHIKODE,MOODADI,06-05-2021,16
302,PALAKKAD,NAGALASSERY,12-05-2021,11
303,PATHANAMTHITTA,MALAYALAPUZHA,01-06-2021,5
304,ERNAKULAM,SREEMOOLA NAGARAM,29-05-2021,2
305,ERNAKULAM,SREEMOOLA NAGARAM,29-05-2021,3
306,KOZHIKODE,KODUVALLY MUNCIPALITY,17-04-2021,4
307,THRISSUR,CHOWANNUR,29-04-2021,7
308,THRISSUR,CHOWANNUR,29-04-2021,9
309,KOZHIKODE,NANMANDA,29-04-2021,11
310,PATHANAMTHITTA,KADAPRA,01-06-2021,8
311,KANNUR,ANTHUR,19-05-2021,25
312,KOZHIKODE,AZHIYUR,27-04-2021,3
313,PATHANAMTHITTA,RANNI PERUNAD,29-05-2021,11
314,KANNUR,CHAPPARAPADAVU,10-05-2021,4
315,KOZHIKODE,KARASSERI,29-04-2021,16
316,KOZHIKODE,KARASSERI,29-04-2021,4
317,THRISSUR,ANNAMANADA,01-05-2021,1
318,KOZHIKODE,PERUMANNA,29-04-2021,8
319,KOZHIKODE,BALUSSERI,24-04-2021,5
320,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,01-05-2021,33
321,KOZHIKODE,NADUVANNUR,28-04-2021,16
322,PATHANAMTHITTA,KODUMON,01-06-2021,6
323,PATHANAMTHITTA,RANNI PAZHAVANGADI,26-05-2021,1
324,THRISSUR,CHOWANNUR,29-04-2021,11
325,THRISSUR,CHOONDAL,28-04-2021,17
326,KOZHIKODE,MANIYUR,17-04-2021,8
327,KOZHIKODE,MANIYUR,17-04-2021,15
328,KOZHIKODE,NANMANDA,06-05-2021,7
329,THIRUVANANTHAPURAM,VAMANAPURAM,28-05-2021,4
330,THRISSUR,CHOONDAL,28-04-2021,18
331,PATHANAMTHITTA,VALLICODE,14-05-2021,3
332,THRISSUR,CHOWANNUR,29-04-2021,12
333,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,01-05-2021,34
334,ERNAKULAM,COCHIN,28-04-2021,16
335,THRISSUR,CHOWANNUR,29-04-2021,13
336,KOZHIKODE,NARIKUNNI,06-05-2021,12
337,KOLLAM,PANMANA,27-04-2021,23
338,THRISSUR,THRISSUR,28-04-2021,17
339,THRISSUR,WADAKKANCHERY,27-04-2021,28
340,THRISSUR,THRISSUR,29-04-2021,19
341,THIRUVANANTHAPURAM,KARAVARAM,10-05-2021,6
342,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,01-05-2021,37
343,THRISSUR,THRISSUR,29-04-2021,28
344,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,21
345,IDUKKI,VANDIPERIYAR,18-04-2021,1
346,KOTTAYAM,ARPOOKARA,31-05-2021,5
347,KOTTAYAM,AYMANAM,31-05-2021,10
348,IDUKKI,VANDIPERIYAR,18-04-2021,14
349,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,7
350,THRISSUR,THRISSUR,29-04-2021,35
351,THIRUVANANTHAPURAM,VAKKOM,02-05-2021,1
352,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,8
353,THIRUVANANTHAPURAM,CHENKAL,10-05-2021,1
354,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,9
355,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,10
356,THRISSUR,THRISSUR,29-04-2021,50
357,IDUKKI,VANDIPERIYAR,18-04-2021,22
358,IDUKKI,MARIYAPURAM,10-04-2021,1
359,THRISSUR,NATTIKA,28-04-2021,3
360,THIRUVANANTHAPURAM,VAMANAPURAM,28-05-2021,5
361,IDUKKI,MARIYAPURAM,10-04-2021,2
362,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,11
363,IDUKKI,UPPUTHARA,22-05-2021,11
364,ERNAKULAM,MALAYATTOOR NEELESWARAM,28-04-2021,3
365,ERNAKULAM,MALAYATTOOR NEELESWARAM,28-04-2021,8
366,THRISSUR,NATTIKA,28-04-2021,4
367,ERNAKULAM,MALAYATTOOR NEELESWARAM,28-04-2021,5
368,ERNAKULAM,MALAYATTOOR NEELESWARAM,28-04-2021,11
370,ERNAKULAM,MALAYATTOOR NEELESWARAM,28-04-2021,12
371,THRISSUR,NATTIKA,28-04-2021,5
372,PATHANAMTHITTA,SEETHATHODU,21-05-2021,3
373,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,01-05-2021,40
374,KOZHIKODE,VELOM,06-05-2021,9
375,KOTTAYAM,MUTHOLY,09-05-2021,9
376,THIRUVANANTHAPURAM,KANJIRAMKULAM,12-05-2021,3
377,KANNUR,ARALAM,11-05-2021,17
378,THRISSUR,CHOWANNUR,28-04-2021,1
379,THRISSUR,VELUKKARA,30-04-2021,3
380,MALAPPURAM,TANALUR,01-06-2021,16
381,MALAPPURAM,THUVVUR,01-06-2021,7
382,THRISSUR,CHOWANNUR,29-04-2021,6
383,THRISSUR,CHOWANNUR,29-04-2021,8
384,KOLLAM,NEDUVATHOOR,15-04-2021,8
385,THIRUVANANTHAPURAM,VEMBAYAM,15-05-2021,13
386,PALAKKAD,LAKKIDIPERUR,15-04-2021,11
387,PALAKKAD,VADAKKANCHERI,15-04-2021,8
388,PALAKKAD,PALAKKAD,08-04-2021,16
389,THRISSUR,CHOWANNUR,29-04-2021,10
390,THRISSUR,NATTIKA,28-04-2021,6
391,PALAKKAD,AKATHETHARA,15-04-2021,9
392,PALAKKAD,AKATHETHARA,15-04-2021,16
393,PALAKKAD,KONGAD,24-05-2021,6
394,PALAKKAD,PUDUSSERI,15-04-2021,4
395,THIRUVANANTHAPURAM,CHENKAL,10-05-2021,2
396,THRISSUR,GURUVAYOOR,29-04-2021,2
397,KOZHIKODE,KIZHAKKOTH,18-04-2021,18
398,THIRUVANANTHAPURAM,VEMBAYAM,15-05-2021,14
399,THIRUVANANTHAPURAM,ARYANCODE,28-05-2021,4
400,PALAKKAD,PUDUSSERI,15-04-2021,15
401,THRISSUR,VATANAPALLY,18-04-2021,16
402,THIRUVANANTHAPURAM,ARYANCODE,28-05-2021,6
403,PATHANAMTHITTA,CHERUKOLE,29-05-2021,6
404,THIRUVANANTHAPURAM,ARYANCODE,28-05-2021,7
405,PATHANAMTHITTA,PALLICKAL,29-05-2021,5
406,THRISSUR,KADAPPURAM,17-04-2021,1
407,THRISSUR,GURUVAYOOR,29-04-2021,13
408,KOTTAYAM,MUTHOLY,09-05-2021,5
409,THIRUVANANTHAPURAM,CHENKAL,10-05-2021,3
410,MALAPPURAM,TANALUR,01-06-2021,17
411,MALAPPURAM,THUVVUR,01-06-2021,8
412,THIRUVANANTHAPURAM,ARYANCODE,28-05-2021,10
413,THIRUVANANTHAPURAM,ARYANCODE,28-05-2021,13
414,PATHANAMTHITTA,PALLICKAL,29-05-2021,13
415,THRISSUR,GURUVAYOOR,29-04-2021,15
416,KOZHIKODE,CHEMANACHERY,14-04-2021,8
417,KOTTAYAM,THALAYAZHAM,09-05-2021,9
418,KOZHIKODE,ERAMALA,28-04-2021,13
419,KANNUR,CHERUPUZHA,19-05-2021,12
420,THIRUVANANTHAPURAM,OTTASEKHARAMANGALAM,28-05-2021,1
421,THRISSUR,NATTIKA,28-04-2021,7
422,THRISSUR,NATTIKA,28-04-2021,8
423,KOZHIKODE,FEROKE MUNCIPALITY,16-04-2021,16
424,THIRUVANANTHAPURAM,CHENKAL,10-05-2021,4
425,KOZHIKODE,KOYILANDI MUNCIPALITY,16-04-2021,6
426,THIRUVANANTHAPURAM,VAKKOM,02-05-2021,6
427,PATHANAMTHITTA,SEETHATHODU,21-05-2021,4
428,THIRUVANANTHAPURAM,OTTASEKHARAMANGALAM,28-05-2021,8
429,THIRUVANANTHAPURAM,OTTASEKHARAMANGALAM,28-05-2021,9
430,KOZHIKODE,OLAVANNA,16-04-2021,4
431,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,12
432,KOZHIKODE,KOYILANDI MUNCIPALITY,16-04-2021,18
433,KOZHIKODE,ARIKULAM,28-04-2021,13
434,THRISSUR,NATTIKA,28-04-2021,9
435,THIRUVANANTHAPURAM,OTTASEKHARAMANGALAM,28-05-2021,10
436,KOZHIKODE,MADAVOOR,26-04-2021,10
437,THIRUVANANTHAPURAM,CHENKAL,10-05-2021,5
438,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,13
439,THRISSUR,GURUVAYOOR,29-04-2021,16
440,THIRUVANANTHAPURAM,EDAVA,28-05-2021,2
441,THRISSUR,NATTIKA,28-04-2021,10
442,KOZHIKODE,NADUVANNUR,16-04-2021,12
443,THRISSUR,GURUVAYOOR,29-04-2021,22
444,PATHANAMTHITTA,THIRUVALLA,28-05-2021,2
445,THIRUVANANTHAPURAM,EDAVA,28-05-2021,3
446,ALAPPUZHA,MARARIKULAM SOUTH,27-05-2021,14
447,THRISSUR,NADATHARA,27-04-2021,1
448,KOZHIKODE,NANMANDA,26-04-2021,17
449,THRISSUR,GURUVAYOOR,29-04-2021,23
450,THIRUVANANTHAPURAM,VELLARADA,07-05-2021,19
451,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,12-05-2021,14
